1IT062, Människa-datorinteraktion, Human-Computer Interaction, 4.5 hp
1DT137, Människa-datorinteraktion, Human-Computer Interaction, 4.5 hp
1MD016, Människa-datorinteraktion, Human-Computer Interaction, 5.0 hp
1MD018, Människor i komplexa system, Humans in Complex Systems, 5.0 hp
1DL101, Mönster och strukturer i systemkonstruk-tion, Patterns and Frameworks in System Design, 7.5 hp
1TD364, Numerisk analys HPB, Numerical Analysis HPB, 7.5 hp
1TD765, Numerisk analys I, Numerical Analysis I, 7.5 hp
1TD751, Numerisk analys I, Numerical Analysis I, 6.0 hp
1TD752, Numerisk analys II, Numerical Analysis II, 6.0 hp
1TD390, Numerisk analys MN1, Numerical Analysis MN1, 7.5 hp
1TD041, Numerisk analys MN2, Numerical Analysis MN2, 7.5 hp
1TD261, Numerisk linjär algebra MN1, Numerical Linear Algebra MN1, 7.5 hp
1TD263, Numerisk linjär algebra NV1, Numerical Linear Algebra NV1, 7.5 hp
1TD710, Numeriska metoder DV1, Numerical Methods DV1, 6.0 hp
1TD403, Numeriska metoder och simulering, Numerical Methods and Simulation, 5.0 hp
1DL240, Objektorienterad design, Object-Oriented Design, 5.0 hp
2AD510, Objektorienterad programmering, Object-Oriented Programming, 7.5 hp
1DL013, Objektorienterad programmering, Object-Oriented Programming, 7.5 hp
2AD512, Objektorienterad programmering DV1, Object-Oriented Programming DV1, 6.0 hp
1TD321, Objektorienterad programmering med C++, Object-Oriented Programming Using C++, 10.0 hp
1TD292, Objektorienterad programmering med C++, Object-Oriented Programming Using C++, 7.5 hp
1DL100, Objektorienterad programmering med Java, Object-Oriented Programming in Java, 7.5 hp
1DL028, Objektorienterad programmering med Java, Object-Oriented Programming in Java, 10.0 hp
1TD375, Objektorienterad vetenskaplig programmering HPB, Object Oriented Scientific Programming HPB, 7.5 hp
1TT800, Operativsystem, Operating Systems, 4.5 hp
1TT802, Operativsystem, Operating Systems, 6.0 hp
1DT020, Operativsystem, Operating Systems, 7.5 hp
1DT700, Operativsystem, Operating Systems, 7.5 hp
1DT044, Operativsystem I, Operating Systems I, 5.0 hp
